# #######################################################
# FLST LOG
# Flight Statistics
# #######################################################
# 
# Parameters [Units]:
# Deletion Time [s], Call sign [-], Spawn Time [s], Flight time [s], Actual Distance 2D [m], Actual Distance 3D [m], Work Done [J], Latitude [deg], Longitude [deg], Altitude [m], TAS [m/s], Vertical Speed [m/s], Heading [deg], Origin Lat [deg], Origin Lon [deg], Destination Lat [deg], Destination Lon [deg], ASAS Active [bool], Pilot ALT [m], Pilot SPD (TAS) [m/s], Pilot HDG [deg], Pilot VS [m/s]
# 
# simt
25.00000000,VO603,0.00000000,25.00000000,3674.62724579,3674.62724579,531227244.89005184,51.22172104,3.25027932,11152.02240000,244.97514972,0.00000000,220.50489429,False,11152.02240000,244.97514972,-1.27062011,220.57034807
40.05000000,SU529,0.10000000,39.95000000,6968.68790499,6968.68790499,1007238992.31734276,50.73625253,5.91960576,10401.90960000,232.28959683,0.00000000,260.05800250,False,10401.90960000,232.28959683,-0.86500388,259.92668007
90.05000000,CI895,0.10000000,89.95000000,16642.33079847,16642.33079847,2454765450.52135372,54.26555002,4.40242442,10477.50000000,208.02913498,0.00000000,228.55455219,False,10477.50000000,208.02913498,-0.93161182,228.43314914
140.05000000,SK068,0.00000000,140.05000000,28627.57705317,28627.57705317,4219749672.07534409,53.51874220,7.16493019,8086.34400000,220.21213118,0.00000000,121.87538135,False,8086.34400000,220.21213118,0.47859903,121.97674819
175.00000000,RG727,0.55000000,174.45000000,38956.41317531,38956.41317531,5629896846.99399948,51.05151496,6.29448372,11021.26320000,236.09947379,0.00000000,85.97208293,False,11021.26320000,236.09947379,-1.13884471,86.09556242
270.00000000,UK632,0.10000000,269.90000000,64964.27755221,64964.27755221,9551347080.74078941,50.92107834,6.20567972,10462.56480000,249.86260597,0.00000000,112.54416077,True,10462.56480000,249.86260597,-1.10389447,112.68236339
270.00000000,AY690,0.55000000,269.45000000,59315.39997469,59315.39997469,8585730646.07761860,50.85344143,6.14691063,9841.68720000,228.13615375,0.00000000,180.30000000,False,9841.68720000,228.13615375,-0.36735675,180.32586079
350.00000000,RQ587,0.00000000,350.00000000,75856.23224881,75856.23224881,11049684347.51375198,52.61816692,2.98941999,9550.90800000,223.10656544,0.00000000,313.21568895,True,9550.90800000,223.10656544,-0.22059729,313.08493415
360.00000000,KL906,0.55000000,359.45000000,64491.18043793,64491.18527996,9331427159.99777985,51.18738742,3.46542228,8226.16853740,184.26051554,-0.13185149,240.89953505,False,0.00000000,184.13172705,0.13185149,240.78941055
385.00000000,CI577,0.55000000,384.45000000,77628.05721137,77628.05721137,11274206147.00539398,51.97191443,2.42458866,9218.06640000,207.00815256,0.00000000,287.01165400,True,9218.06640000,207.00815256,-0.05210664,286.89334837
390.00000000,KE500,0.55000000,389.45000000,49236.48418025,49325.34929206,-648511810.44197690,51.42324911,6.55284526,1261.54386644,120.87594521,-7.24728531,134.94074019,False,0.00000000,120.36180977,7.24728531,135.02546887
425.00000000,HV296,0.00000000,425.00000000,111771.69045649,111771.69045649,17476991606.91211700,50.86447937,5.15904447,9753.60000000,269.32937459,0.00000000,209.60000000,True,9753.60000000,269.32937459,-0.88215525,209.60000000
455.00000000,NW990,0.10000000,454.90000000,87337.48434051,87337.85853437,10404443433.86580658,50.97746889,4.60178950,6264.19032741,195.04462773,-0.60438390,224.35598773,True,0.00000000,194.54639892,0.60438390,224.19429025
460.00000000,EXY550,0.00000000,460.00000000,100529.88015610,100529.88107348,14499190514.57511139,51.73891538,6.77045842,9440.40255836,223.39973368,-0.06516973,68.18024488,False,0.00000000,223.32678326,-0.06516973,68.30537921
460.00000000,AI489,0.55000000,459.45000000,63843.88372639,63843.88372639,10263697821.43552780,51.00511234,4.42988015,6266.68800000,141.87529717,0.00000000,212.11237836,True,6266.68800000,141.87529717,0.82843678,211.95913733
480.00000000,HN321,0.00000000,480.00000000,119088.13405034,119088.13405034,18073372544.06275940,51.35428512,2.55438465,9513.72240000,253.37900862,0.00000000,138.07445748,False,9513.72240000,253.37900862,-0.51581809,138.17200661
490.00000000,OS733,0.10000000,489.90000000,109319.12324759,109319.12324759,15808890041.35345078,51.33712228,2.61109808,9962.99760000,227.74817343,0.00000000,223.40787777,False,9962.99760000,227.74817343,-0.41781206,223.31249347
495.00000000,AT187,0.00000000,495.00000000,112101.45882430,112101.45882430,16738085074.23284912,52.36904298,7.12362371,8422.23360000,231.13702850,0.00000000,129.62905503,False,8422.23360000,231.13702850,0.20244168,129.74379429
505.00000000,PY908,0.55000000,504.45000000,111906.11920458,111906.15691891,15498514866.22410965,50.91011957,6.18331355,10384.03442993,225.75074587,-0.22835456,179.34206569,False,0.00000000,225.25119364,-0.22835456,179.17024889
550.00000000,MS841,0.00000000,550.00000000,150598.32764910,150598.32764910,24274639287.33823013,50.77154073,6.09525193,9753.60000000,276.48000491,0.00000000,118.40000000,True,9753.60000000,273.48767105,-1.44893773,118.40000000
625.05000000,SU355,0.55000000,624.50000000,119532.29011324,119532.29011324,17488708224.82767105,53.41019316,3.66261380,6272.47920000,194.36144734,0.00000000,297.13480492,False,6272.47920000,194.36144734,1.68472727,296.96019512
640.05000000,XT279,0.55000000,639.50000000,89890.91481194,89890.91481194,14119182795.03157234,51.55785560,6.64515064,5866.18080000,142.68399176,0.00000000,69.04031407,False,5866.18080000,142.68399176,1.19534820,69.19106032
665.05000000,TK141,0.00000000,665.05000000,157376.07039301,157376.07039301,23415446902.05701447,54.65255351,4.73100268,9188.80560000,240.26880976,0.00000000,234.94304737,False,9188.80560000,240.26880976,-0.21396111,234.85485466
